# Category: Words & Letters

#,question,optionA,optionB,optionC,optionD,answer,level,subject,hint,explanation,status
"1","There is a small word hiding inside vegetables. Can you spot it?","","","","","table","expert","Hidden Words","It does not have to start at the front.","The word 'table' appears inside 'vegetables' in order.","published"
"2","There is a small word hiding inside classroom. Can you spot it?","","","","","ass","expert","Hidden Words","The hidden word is shorter than classroom.","The word 'ass' appears inside 'classroom' in order.","published"
"3","There is a small word hiding inside passport. Can you spot it?","saddle","marble","ass","candle","C. ass","easy","Hidden Words","Read the letters in order, no skipping.","The word 'ass' appears inside 'passport' in order.","published"
"4","There is a small word hiding inside alphabet. Can you spot it?","","","","","alpha","expert","Hidden Words","It does not have to start at the front.","The word 'alpha' appears inside 'alphabet' in order.","published"
"5","There is a small word hiding inside caterpillar. Can you spot it?","marble","candle","erpil","saddle","C. erpil","easy","Hidden Words","Read the letters in order, no skipping.","The word 'erpil' appears inside 'caterpillar' in order.","published"
"6","There is a small word hiding inside understand. Can you spot it?","","","","","tand","expert","Hidden Words","Keep the letters in their original order.","The word 'tand' appears inside 'understand' in order.","published"
"7","There is a small word hiding inside strawberry. Can you spot it?","candle","marble","raw","saddle","C. raw","easy","Hidden Words","It does not have to start at the front.","The word 'raw' appears inside 'strawberry' in order.","published"
"8","There is a small word hiding inside watermelon. Can you spot it?","","","","","term","expert","Hidden Words","Keep the letters in their original order.","The word 'term' appears inside 'watermelon' in order.","published"
"9","There is a small word hiding inside pineapple. Can you spot it?","candle","apple","marble","saddle","B. apple","easy","Hidden Words","Scan the letters slowly.","The word 'apple' appears inside 'pineapple' in order.","published"
"10","There is a small word hiding inside blueberry. Can you spot it?","","","","","blue","expert","Hidden Words","Scan the letters slowly.","The word 'blue' appears inside 'blueberry' in order.","published"
"11","There is a small word hiding inside background. Can you spot it?","","","","","ground","expert","Hidden Words","Scan the letters slowly.","The word 'ground' appears inside 'background' in order.","published"
"12","There is a small word hiding inside masterpiece. Can you spot it?","","","","","aster","expert","Hidden Words","Keep the letters in their original order.","The word 'aster' appears inside 'masterpiece' in order.","published"
"13","There is a small word hiding inside butterfly. Can you spot it?","marble","saddle","candle","butter","D. butter","easy","Hidden Words","The hidden word is shorter than butterfly.","The word 'butter' appears inside 'butterfly' in order.","published"
"14","There is a small word hiding inside friendship. Can you spot it?","","","","","end","expert","Hidden Words","The hidden word is shorter than friendship.","The word 'end' appears inside 'friendship' in order.","published"
"15","There is a small word hiding inside mountains. Can you spot it?","marble","untai","saddle","candle","B. untai","easy","Hidden Words","Scan the letters slowly.","The word 'untai' appears inside 'mountains' in order.","published"
"16","There is a small word hiding inside happiness. Can you spot it?","","","","","happi","expert","Hidden Words","Read the letters in order, no skipping.","The word 'happi' appears inside 'happiness' in order.","published"
"17","There is a small word hiding inside knowledge. Can you spot it?","","","","","nowled","expert","Hidden Words","Keep the letters in their original order.","The word 'nowled' appears inside 'knowledge' in order.","published"
"18","There is a small word hiding inside courageous. Can you spot it?","","","","","rage","expert","Hidden Words","Scan the letters slowly.","The word 'rage' appears inside 'courageous' in order.","published"
"19","There is a small word hiding inside dictionary. Can you spot it?","","","","","ction","expert","Hidden Words","Scan the letters slowly.","The word 'ction' appears inside 'dictionary' in order.","published"
"20","There is a small word hiding inside hurricane. Can you spot it?","","","","","urric","expert","Hidden Words","Keep the letters in their original order.","The word 'urric' appears inside 'hurricane' in order.","published"
"21","There is a small word hiding inside lightning. Can you spot it?","marble","candle","saddle","light","D. light","easy","Hidden Words","It does not have to start at the front.","The word 'light' appears inside 'lightning' in order.","published"
"22","There is a small word hiding inside cardboard. Can you spot it?","","","","","card","expert","Hidden Words","It does not have to start at the front.","The word 'card' appears inside 'cardboard' in order.","published"
"23","There is a small word hiding inside notebook. Can you spot it?","","","","","note","expert","Hidden Words","Scan the letters slowly.","The word 'note' appears inside 'notebook' in order.","published"
"24","There is a small word hiding inside toothpaste. Can you spot it?","","","","","tooth","expert","Hidden Words","It does not have to start at the front.","The word 'tooth' appears inside 'toothpaste' in order.","published"
"25","There is a small word hiding inside sunflower. Can you spot it?","","","","","sun","expert","Hidden Words","Scan the letters slowly.","The word 'sun' appears inside 'sunflower' in order.","published"
"26","There is a small word hiding inside horseshoe. Can you spot it?","","","","","shoe","expert","Hidden Words","Scan the letters slowly.","The word 'shoe' appears inside 'horseshoe' in order.","published"
